"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,1.034529060E-1,1.364560843E0,9.682910919E0,9.779135579E0
2.442135000E-3,9.387651086E-2,1.388501883E0,9.697276115E0,9.796627702E0
4.892760000E-3,8.430013061E-2,1.350196242E0,9.716429710E0,9.810155081E0
7.322343000E-3,4.599453509E-2,1.326255441E0,9.711641312E0,9.801889918E0
9.750052000E-3,8.430013061E-2,1.359772801E0,9.692488670E0,9.787769164E0
1.217817700E-2,1.226056963E-1,1.402866483E0,9.702064514E0,9.803730023E0
1.460885400E-2,1.034529060E-1,1.354984522E0,9.716429710E0,9.810998516E0
1.704062500E-2,6.514734030E-2,1.335831761E0,9.745158195E0,9.836503389E0
1.946755200E-2,5.078274012E-2,1.364560843E0,9.702064514E0,9.797686513E0
2.189848900E-2,6.035912782E-2,1.354984522E0,9.706851959E0,9.801153057E0
2.432531200E-2,8.908830583E-2,1.374137282E0,9.673335075E0,9.770854695E0
2.675546800E-2,1.034529060E-1,1.331043482E0,9.716429710E0,9.807720712E0
2.918354100E-2,6.514734030E-2,1.369349122E0,9.721217155E0,9.817404147E0
3.161479100E-2,6.514734030E-2,1.364560843E0,9.668547630E0,9.764583132E0
3.404182300E-2,9.866471589E-2,1.374137282E0,9.644606590E0,9.742506057E0
3.647328100E-2,1.082411110E-1,1.321467161E0,9.687700272E0,9.778012485E0
3.890078100E-2,7.472373545E-2,1.345408201E0,9.692488670E0,9.785706080E0
4.133234300E-2,7.951192558E-2,1.350196242E0,9.711641312E0,9.805372456E0
4.376093700E-2,7.951192558E-2,1.359772801E0,9.668547630E0,9.764021584E0
4.619463500E-2,9.387651086E-2,1.350196242E0,9.697276115E0,9.791271968E0
4.862223900E-2,8.908830583E-2,1.354984522E0,9.726005554E0,9.820341329E0
5.105213500E-2,7.472373545E-2,1.374137282E0,9.726005554E0,9.822882517E0
5.348203100E-2,7.951192558E-2,1.378925562E0,9.697276115E0,9.795147876E0
5.591322900E-2,6.514734030E-2,1.378925562E0,9.663759232E0,9.761860600E0
5.834244800E-2,1.034529060E-1,1.359772801E0,9.697276115E0,9.792693635E0
6.077114600E-2,7.951192558E-2,1.350196242E0,9.687700272E0,9.781660830E0
6.320067700E-2,9.387651086E-2,1.364560843E0,9.716429710E0,9.812229380E0
6.563052100E-2,7.951192558E-2,1.378925562E0,9.668547630E0,9.766707282E0
6.805942700E-2,8.908830583E-2,1.321467161E0,9.663759232E0,9.754099378E0
7.048729100E-2,1.082411110E-1,1.340619922E0,9.721217155E0,9.813818874E0
7.291651000E-2,8.908830583E-2,1.331043482E0,9.745158195E0,9.836041975E0
7.534687500E-2,7.472373545E-2,1.345408201E0,9.716429710E0,9.809419615E0
7.777473900E-2,7.472373545E-2,1.335831761E0,9.658969879E0,9.751191171E0
8.020526000E-2,8.908830583E-2,1.402866483E0,9.692488670E0,9.793891347E0
8.263416600E-2,1.082411110E-1,1.364560843E0,9.706851959E0,9.802893317E0
8.506348900E-2,7.951192558E-2,1.340619922E0,9.711641312E0,9.804058389E0
8.746765600E-2,6.993553042E-2,1.350196242E0,9.668547630E0,9.762619226E0
8.984854100E-2,9.387651086E-2,1.369349122E0,9.654182434E0,9.751264958E0
9.223026000E-2,1.273939013E-1,1.335831761E0,9.682910919E0,9.775450863E0
9.461276000E-2,1.082411110E-1,1.369349122E0,9.721217155E0,9.817784686E0
9.699416600E-2,6.993553042E-2,1.354984522E0,9.716429710E0,9.810702337E0
9.937651000E-2,8.430013061E-2,1.369349122E0,9.692488670E0,9.789104155E0
1.017584370E-1,6.035912782E-2,1.359772801E0,9.678123474E0,9.773366834E0
1.041394270E-1,1.130293161E-1,1.354984522E0,9.706851959E0,9.801618930E0
1.065207290E-1,1.034529060E-1,1.364560843E0,9.726005554E0,9.821808023E0
1.089022390E-1,6.514734030E-2,1.354984522E0,9.735582352E0,9.829638394E0
1.112829680E-1,7.951192558E-2,1.374137282E0,9.682910919E0,9.780252516E0
1.136655730E-1,1.226056963E-1,1.359772801E0,9.687700272E0,9.783432464E0
1.160473960E-1,8.908830583E-2,1.359772801E0,9.692488670E0,9.787811575E0
1.184278640E-1,6.514734030E-2,1.354984522E0,9.730792999E0,9.824894891E0
1.208100000E-1,8.430013061E-2,1.364560843E0,9.697276115E0,9.793176036E0
1.231932290E-1,1.082411110E-1,1.398078322E0,9.678123474E0,9.779182640E0
1.255718750E-1,1.178174913E-1,1.369349122E0,9.702064514E0,9.798931259E0
1.279528640E-1,7.472373545E-2,1.321467161E0,9.730792999E0,9.820396707E0
1.303344790E-1,8.430013061E-2,1.350196242E0,9.716429710E0,9.810155081E0
1.327150520E-1,7.951192558E-2,1.378925562E0,9.711641312E0,9.809369746E0
1.350966660E-1,1.034529060E-1,1.354984522E0,9.682910919E0,9.777803916E0
1.374779160E-1,6.514734030E-2,1.359772801E0,9.687700272E0,9.782881109E0
1.398587500E-1,7.472373545E-2,1.369349122E0,9.726005554E0,9.822213839E0
1.422410930E-1,7.472373545E-2,1.359772801E0,9.721217155E0,9.816141232E0
1.445774480E-1,7.951192558E-2,1.364560843E0,9.682910919E0,9.778911612E0
1.470020830E-1,8.908830583E-2,1.354984522E0,9.697276115E0,9.791888676E0
1.493842710E-1,1.034529060E-1,1.335831761E0,9.687700272E0,9.779912349E0
1.517649480E-1,7.951192558E-2,1.340619922E0,9.740370750E0,9.832517799E0
1.541481250E-1,7.472373545E-2,1.354984522E0,9.697276115E0,9.791768520E0
1.565301560E-1,7.472373545E-2,1.340619922E0,9.697276115E0,9.789791084E0
1.589129160E-1,9.866471589E-2,1.350196242E0,9.673335075E0,9.767608515E0
