Cidade,UF,Capital,Área,Pop. 2010 (hab),Pop. 2019 (hab),Dens. demo. 2010 (hab/km2),Dens. demo. 2019 (hab/km2),IDHM 2010,PIB per capita 2017 (R$),Fundação
Xapuri,Acre,não,5347.467,16095,19323,3.01,3.61,0.599,12726.81,
Plácido de Castro,Acre,não,1943.850,17222,19761,8.86,10.17,0.622,13030.70,
Tarauacá,Acre,não,20171.089,35501,42567,1.76,2.11,0.539,11763.89,
Acrelândia,Acre,não,1807.953,12547,15256,6.94,8.44,0.604,15984.09,
Bujari,Acre,não,3034.869,8467,10266,2.79,3.38,0.589,16380.21,
Capixaba,Acre,não,1701.973,8799,11733,5.17,6.89,0.575,15354.37,
Epitaciolândia,Acre,não,1654.769,15108,18411,9.13,11.13,0.653,25139.04,
Jordão,Acre,não,5357.282,6589,8317,1.23,1.55,0.469,10006.13,
Porto Walter,Acre,não,6443.829,9150,11982,1.42,1.86,0.532,9927.70,
Santa Rosa do Purus,Acre,não,6145.612,4670,6540,0.76,1.06,0.517,11439.99,
Porto Acre,Acre,não,2604.897,14873,18504,5.71,7.1,0.576,13169.30,
Assis Brasil,Acre,não,4974.174,6068,7417,1.22,1.49,0.588,13132.06,
Manoel Urbano,Acre,não,10633.137,7974,9459,0.75,0.89,0.551,15259.81,
Senador Guiomard,Acre,não,2322.041,20178,23024,8.69,9.92,0.640,16692.58,
Mâncio Lima,Acre,não,5453.034,15213,18977,2.79,3.48,0.625,10855.28,
Brasiléia,Acre,não,3916.505,21384,26278,5.46,6.71,0.614,15663.67,
Rodrigues Alves,Acre,não,3076.952,14400,18930,4.68,6.15,0.567,10309.69,
Sena Madureira,Acre,não,23753.064,38004,45848,1.60,1.93,0.603,11602.31,
Cruzeiro do Sul,Acre,não,8779.407,78487,88376,8.94,10.07,0.664,15585.70,
Marechal Thaumaturgo,Acre,não,8191.691,14253,18867,1.74,2.3,0.501,10914.86,
Feijó,Acre,não,27975.427,32451,34780,1.16,1.24,0.539,10842.72,
Rio Branco,Acre,sim,8834.942,335992,407319,38.03,46.1,0.727,21258.68,
Girau do Ponciano,Alagoas,não,513.454,37538,40917,73.11,79.69,0.536,7828.37,
Maravilha,Alagoas,não,332.370,11317,9163,34.05,27.57,0.569,7027.55,
Igreja Nova,Alagoas,não,427.000,23267,24499,54.49,57.37,0.568,15745.94,
Poço das Trincheiras,Alagoas,não,284.260,13508,14386,47.52,50.61,0.526,6353.43,
Atalaia,Alagoas,não,533.258,44697,47185,83.82,88.48,0.561,16036.19,
Olivença,Alagoas,não,175.317,11197,11624,63.87,66.3,0.493,5855.46,
Jequiá da Praia,Alagoas,não,334.261,11435,11580,34.21,34.64,0.556,21202.21,
Jacuípe,Alagoas,não,208.738,6942,7021,33.26,33.64,0.548,24030.74,
Delmiro Gouveia,Alagoas,não,628.545,49736,52016,79.13,82.76,0.612,9047.19,
